Overall Pick,Year,Team,Name,Age,Position,Nationality,Amateur Team,Games Played,Goals,Assists,Points,Penalty Minutes,Goalie Wins,Goalie Losses,Goalie Ties/OT,Goals Against Average,Save Percentage,Last Season
61,2009,Pittsburgh Penguins,Philip Samuelsson,18,D,SE,Chicago Steel (USHL),13,0,0,0,2,,,,,,2015-16
1,2008,Tampa Bay Lightning,Steven Stamkos,18,C,CA,Sarnia Sting (OHL),970,505,524,1029,577,,,,,,2022-23
2,2008,Los Angeles Kings,Drew Doughty,18,D,CA,Guelph Storm (OHL),1065,135,463,598,719,,,,,,2022-23
3,2008,Atlanta Thrashers,Zach Bogosian,18,D,US,Peterborough Petes (OHL),761,56,153,209,685,,,,,,2022-23
4,2008,St. Louis Blues,Alex Pietrangelo,18,D,CA,Niagara IceDogs (OHL),921,134,414,548,309,,,,,,2022-23
5,2008,Toronto Maple Leafs,Luke Schenn,18,D,CA,Kelowna Rockets (WHL),912,40,145,185,747,,,,,,2022-23
6,2008,Columbus Blue Jackets,Nikita Filatov,18,LW,RU,CSKA Moskva 2 (Russia-3),53,6,8,14,20,,,,,,2011-12
7,2008,Nashville Predators,Colin Wilson,18,C,US,Boston University (H-East),632,113,173,286,138,,,,,,2019-20
8,2008,Phoenix Coyotes,Mikkel Boedker,18,RW,DK,Kitchener Rangers (OHL),709,118,209,327,116,,,,,,2019-20
9,2008,New York Islanders,Josh Bailey,18,C,CA,Windsor Spitfires (OHL),1041,182,392,574,241,,,,,,2022-23
10,2008,Vancouver Canucks,Cody Hodgson,18,C,CA,Brampton Battalion (OHL),328,64,78,142,68,,,,,,2015-16
11,2008,Chicago Blackhawks,Kyle Beach,18,C,CA,Everett Silvertips (WHL),,,,,,,,,,,
12,2008,Buffalo Sabres,Tyler Myers,18,D,US,Kelowna Rockets (WHL),886,88,247,335,689,,,,,,2022-23
13,2008,Los Angeles Kings,Colten Teubert,18,D,CA,Regina Pats (WHL),24,0,1,1,25,,,,,,2011-12
14,2008,Carolina Hurricanes,Zach Boychuk,18,C,CA,Lethbridge Hurricanes (WHL),127,12,18,30,16,,,,,,2014-15
15,2008,Ottawa Senators,Erik Karlsson,18,D,SE,Frolunda HC Jr. (Sweden Jr.),889,169,557,726,396,,,,,,2022-23
