Overall Pick,Year,Team,Name,Age,Position,Nationality,Amateur Team,Games Played,Goals,Assists,Points,Penalty Minutes,Goalie Wins,Goalie Losses,Goalie Ties/OT,Goals Against Average,Save Percentage,Last Season
44,2004,Edmonton Oilers,Roman Tesliuk,18,D,RU,Kamloops Blazers (WHL),,,,,,,,,,,
45,2004,Chicago Blackhawks,Ryan Garlock,18,C,CA,Windsor Spitfires (OHL),,,,,,,,,,,
46,2004,Columbus Blue Jackets,Adam Pineault,18,RW,US,Boston College (H-East),3,0,0,0,0,,,,,,2007-8
47,2004,New York Islanders,Blake Comeau,18,RW,CA,Kelowna Rockets (WHL),909,141,193,334,573,,,,,,2021-22
48,2004,New York Rangers,Dane Byers,18,LW,CA,Prince Albert Raiders (WHL),14,1,0,1,60,,,,,,2011-12
49,2004,St. Louis Blues,Carl Soderberg,18,C,SE,Malmo (Sweden),597,110,187,297,210,,,,,,2020-21
50,2004,Phoenix Coyotes,Enver Lisin,18,RW,RU,Kristall Saratov (Russia-2),135,24,18,42,64,,,,,,2009-10
51,2004,New York Rangers,Bruce Graham,18,C,CA,Moncton Wildcats (QMJHL),,,,,,,,,,,
52,2004,Dallas Stars,Raymond Sawada,19,RW,CA,Nanaimo (BCHL),11,1,0,1,0,,,,,,2010-11
53,2004,Florida Panthers,David Booth,19,LW,US,Michigan State (CCHA),530,124,112,236,216,,,,,,2017-18
54,2004,Chicago Blackhawks,Jakub Sindel,18,C,CZ,HC Sparta Praha (Czech),,,,,,,,,,,
55,2004,Colorado Avalanche,Victor Oreskovich,18,RW,CA,Green Bay Gamblers (USHL),67,2,7,9,41,,,,,,2011-12
56,2004,Dallas Stars,Nicklas Grossmann,19,D,SE,Sodertalje SK Jr. (Sweden Jr.),592,13,73,86,314,,,,,,2016-17
57,2004,Edmonton Oilers,Geoff Paukovich,18,LW,US,USA U-18 Development Team (USDP/NAHL),,,,,,,,,,,
58,2004,Ottawa Senators,Kirill Lyamin,18,D,RU,CSKA Moskva (Russia),,,,,,,,,,,
59,2004,Columbus Blue Jackets,Kyle Wharton,18,D,CA,Ottawa 67's (OHL),,,,,,,,,,,
60,2004,New York Rangers,Brandon Dubinsky,18,C,US,Portland Winter Hawks (WHL),823,153,285,438,905,,,,,,2018-19
61,2004,Pittsburgh Penguins,Alex Goligoski,19,D,US,Sioux Falls Stampede (USHL),1015,86,376,462,342,,,,,,2022-23
62,2004,Washington Capitals,Mikhail Yunkov,18,C,RU,Krylja Sovetov Moskva (Russia-2),,,,,,,,,,,
63,2004,Boston Bruins,David Krejci,18,C,CZ,HC Kladno Jr. (Czech Jr.),1007,227,544,771,349,,,,,,2022-23
64,2004,Boston Bruins,Martins Karsums,18,RW,LV,Moncton Wildcats (QMJHL),24,1,5,6,6,,,,,,2008-9
65,2004,Tampa Bay Lightning,Mark Tobin,18,LW,CA,Rimouski Oceanic (QMJHL),,,,,,,,,,,
1,2003,Pittsburgh Penguins,Marc-Andre Fleury,18,G,CA,Cape Breton Screaming Eagles (QMJHL),970,0,21,21,78,536,309,88,2.58,0.913,2022-23
2,2003,Carolina Hurricanes,Eric Staal,18,C,CA,Peterborough Petes (OHL),1335,448,601,1049,844,,,,,,2022-23
3,2003,Florida Panthers,Nathan Horton,18,RW,CA,Oshawa Generals (OHL),626,203,218,421,567,,,,,,2013-14
4,2003,Columbus Blue Jackets,Nikolai Zherdev,18,W,UA,CSKA Moskva (Russia),421,115,146,261,225,,,,,,2010-11
5,2003,Buffalo Sabres,Thomas Vanek,19,LW,AT,Minnesota (WCHA),1029,373,416,789,547,,,,,,2018-19
6,2003,San Jose Sharks,Milan Michalek,18,RW,CZ,HC Ceske Budejovice (Czech),747,208,238,446,394,,,,,,2016-17
7,2003,Nashville Predators,Ryan Suter,18,D,US,USA U-18 Development Team (USDP/NAHL),1331,101,551,652,729,,,,,,2022-23
8,2003,Atlanta Thrashers,Braydon Coburn,18,D,CA,Portland Winter Hawks (WHL),983,49,185,234,720,,,,,,2020-21
9,2003,Calgary Flames,Dion Phaneuf,18,D,CA,Red Deer Rebels (WHL),1048,137,357,494,1345,,,,,,2018-19
10,2003,Montreal Canadiens,Andrei Kostitsyn,18,LW,BY,CSKA Moskva 2 (Russia-3),398,103,119,222,181,,,,,,2011-12
11,2003,Philadelphia Flyers,Jeff Carter,18,C,CA,Soo Greyhounds (OHL),1216,425,401,826,613,,,,,,2022-23
12,2003,New York Rangers,Hugh Jessiman,19,RW,US,Dartmouth (ECAC),2,0,0,0,5,,,,,,2010-11
13,2003,Los Angeles Kings,Dustin Brown,18,RW,US,Guelph Storm (OHL),1296,325,387,712,738,,,,,,2021-22
14,2003,Chicago Blackhawks,Brent Seabrook,18,D,CA,Lethbridge Hurricanes (WHL),1114,103,361,464,661,,,,,,2019-20
15,2003,New York Islanders,Robert Nilsson,18,C,CA,Leksands IF (Sweden),252,37,81,118,90,,,,,,2009-10
16,2003,San Jose Sharks,Steve Bernier,18,RW,CA,Moncton Wildcats (QMJHL),637,105,125,230,300,,,,,,2017-18
17,2003,New Jersey Devils,Zach Parise,19,LW,US,North Dakota (WCHA),1194,421,444,865,422,,,,,,2022-23
18,2003,Washington Capitals,Eric Fehr,18,RW,CA,Brandon Wheat Kings (WHL),652,113,108,221,217,,,,,,2018-19
19,2003,Anaheim Ducks,Ryan Getzlaf,18,C,CA,Calgary Hitmen (WHL),1157,282,737,1019,960,,,,,,2021-22
20,2003,Minnesota Wild,Brent Burns,18,RW,CA,Brampton Battalion (OHL),1300,235,576,811,799,,,,,,2022-23
21,2003,Boston Bruins,Mark Stuart,19,D,US,Colorado College (WCHA),673,26,67,93,722,,,,,,2016-17
22,2003,Edmonton Oilers,Marc Pouliot,18,C,CA,Rimouski Oceanic (QMJHL),192,21,36,57,76,,,,,,2011-12
23,2003,Vancouver Canucks,Ryan Kesler,19,C,US,Ohio State (CCHA),1001,258,315,573,920,,,,,,2018-19
24,2003,Philadelphia Flyers,Mike Richards,18,C,CA,Kitchener Rangers (OHL),749,181,306,487,585,,,,,,2015-16
25,2003,Florida Panthers,Anthony Stewart,18,RW,CA,Kingston Frontenacs (OHL),262,27,44,71,123,,,,,,2011-12
26,2003,Los Angeles Kings,Brian Boyle,18,C,US,St. Sebastian's School (High-MA),871,141,111,252,615,,,,,,2021-22
27,2003,Los Angeles Kings,Jeff Tambellini,19,LW,CA,Michigan (CCHA),242,27,36,63,88,,,,,,2010-11
28,2003,Anaheim Ducks,Corey Perry,18,RW,CA,London Knights (OHL),1224,414,463,877,1339,,,,,,2022-23
29,2003,Ottawa Senators,Patrick Eaves,19,RW,CA,Boston College (H-East),633,132,110,242,210,,,,,,2018-19
30,2003,St. Louis Blues,Shawn Belle,18,D,CA,Tri-City Americans (WHL),20,0,1,1,2,,,,,,2010-11
31,2003,Carolina Hurricanes,Danny Richmond,19,D,US,Michigan (CCHA),49,0,3,3,75,,,,,,2007-8
32,2003,Pittsburgh Penguins,Ryan Stone,18,C,CA,Brandon Wheat Kings (WHL),35,0,7,7,55,,,,,,2009-10
33,2003,Dallas Stars,Loui Eriksson,18,LW,SE,Vastra Frolunda HC Jr. (Sweden Jr.),1050,253,360,613,200,,,,,,2021-22
34,2003,Tampa Bay Lightning,Mike Egener,18,D,DE,Calgary Hitmen (WHL),,,,,,,,,,,
35,2003,Nashville Predators,Konstantin Glazachev,18,LW,RU,Lokomotiv Yaroslavl (Russia),,,,,,,,,,,
36,2003,Dallas Stars,Vojtech Polak,18,LW,CZ,HC Energie Karlovy Vary (Czech),5,0,0,0,0,,,,,,2006-7
37,2003,Nashville Predators,Kevin Klein,18,D,CA,Toronto St. Michael's Majors (OHL),627,38,116,154,185,,,,,,2016-17
38,2003,Florida Panthers,Kamil Kreps,18,C,CZ,Brampton Battalion (OHL),232,18,42,60,71,,,,,,2009-10
39,2003,Calgary Flames,Tim Ramholt,18,D,CA,ZSC Lions (Swiss),1,0,0,0,0,,,,,,2007-8
40,2003,Montreal Canadiens,Cory Urquhart,18,C,CA,Montreal Rocket (QMJHL),,,,,,,,,,,
41,2003,Tampa Bay Lightning,Matt Smaby,18,D,US,Shattuck-St. Mary's School (High-MN),122,0,6,6,106,,,,,,2010-11
42,2003,New Jersey Devils,Petr Vrana,18,C,CZ,Halifax Mooseheads (QMJHL),16,1,0,1,2,,,,,,2008-9
43,2003,San Jose Sharks,Josh Hennessy,18,C,US,Quebec Remparts (QMJHL),23,1,0,1,6,,,,,,2011-12
44,2003,Los Angeles Kings,Konstantin Pushkarev,18,RW,KZ,Torpedo Ust Kamenogorsk 2 (Russia-3),17,2,3,5,8,,,,,,2006-7
45,2003,Boston Bruins,Patrice Bergeron,18,C,CA,Acadie-Bathurst Titan (QMJHL),1266,418,602,1020,486,,,,,,2022-23
46,2003,Columbus Blue Jackets,Dan Fritsche,18,C,US,Sarnia Sting (OHL),256,34,42,76,103,,,,,,2008-9
47,2003,San Jose Sharks,Matt Carle,18,D,US,River City Lancers (USHL),730,45,238,283,251,,,,,,2016-17
48,2003,New York Islanders,Dmitri Chernykh,18,RW,RU,Khimik Voskresensk (Russia-2),,,,,,,,,,,
49,2003,Nashville Predators,Shea Weber,18,D,CA,Kelowna Rockets (WHL),1038,224,365,589,714,,,,,,2020-21
50,2003,New York Rangers,Ivan Baranka,18,D,SK,HK Dubnica Jr. (Slovakia Jr.),1,0,1,1,0,,,,,,2007-8
51,2003,Edmonton Oilers,Colin McDonald,18,RW,US,New England Jr. Coyotes (EJHL),148,20,26,46,73,,,,,,2016-17
52,2003,Chicago Blackhawks,Corey Crawford,18,G,CA,Moncton Wildcats (QMJHL),488,0,9,9,18,260,162,53,2.45,0.918,2019-20
53,2003,New York Islanders,Evgeny Tunik,18,C,RU,Elemash Elektrostal (Russia-2),,,,,,,,,,,
54,2003,Dallas Stars,B.J. Crombeen,18,RW,US,Barrie Colts (OHL),445,34,46,80,850,,,,,,2014-15
55,2003,Florida Panthers,Stefan Meyer,18,LW,CA,Medicine Hat Tigers (WHL),20,0,2,2,17,,,,,,2010-11
56,2003,Minnesota Wild,Patrick O'Sullivan,18,C,CA,Mississagua IceDogs (OHL),334,58,103,161,116,,,,,,2011-12
57,2003,Toronto Maple Leafs,John Doherty,19,D,US,Phillips Andover Academy (High-MA),,,,,,,,,,,
58,2003,New York Islanders,Jeremy Colliton,18,C,CA,Prince Albert Raiders (WHL),57,3,3,6,26,,,,,,2010-11
59,2003,Chicago Blackhawks,Michal Barinka,19,D,CZ,HC Ceske Budejovice (Czech),34,0,2,2,26,,,,,,2005-6
60,2003,Vancouver Canucks,Marc-Andre Bernier,18,RW,CA,Halifax Mooseheads (QMJHL),,,,,,,,,,,
61,2003,Montreal Canadiens,Maxim Lapierre,18,C,CA,Montreal Rocket (QMJHL),614,65,74,139,586,,,,,,2014-15
62,2003,St. Louis Blues,David Backes,19,C,US,Lincoln Stars (USHL),965,248,313,561,1148,,,,,,2020-21
63,2003,Colorado Avalanche,David Liffiton,18,D,CA,Plymouth Whalers (OHL),7,1,0,1,26,,,,,,2010-11
64,2003,Detroit Red Wings,Jimmy Howard,19,G,US,Maine (H-East),543,0,9,9,36,246,196,70,2.62,0.912,2019-20
65,2003,Buffalo Sabres,Branislav Fabry,18,LW,SK,HC Slovan Bratislava Jr. (Slovakia Jr.),,,,,,,,,,,
66,2003,Boston Bruins,Masi Marjamaki,18,RW,FI,Red Deer Rebels (WHL),1,0,0,0,0,,,,,,2005-6
67,2003,Ottawa Senators,Igor Mirnov,18,LW,RU,Dynamo Moskva (Russia),,,,,,,,,,,
68,2003,Edmonton Oilers,Jean-Francois Jacques,18,LW,CA,Baie-Comeau Drakkar (QMJHL),166,9,8,17,197,,,,,,2011-12
